Freq_GHz,S11_dB,dipole_length,wire_rad,port_gap,SimulationIndex,SimulationID
0.45,-0.177131759811897,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.45225,-0.181014825265114,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.4545,-0.184988988247097,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.45675,-0.189056689445964,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.459,-0.193220443892836,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.46125,-0.197482843489814,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.4635,-0.201846559632239,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.46575,-0.206314345929023,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.468,-0.210889041024989,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.47025,-0.215573571529283,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.4725,-0.220370955054155,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.47475,-0.225284303368524,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.477,-0.230316825670977,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.47925,-0.235471831986991,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.4815,-0.240752736695432,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.48375,-0.246163062189551,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.486,-0.251706442677908,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.48825,-0.257386628130899,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.4905,-0.263207488378848,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.49275,-0.269173017367722,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.495,-0.275287337578988,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.49725,-0.281554704620179,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.4995,-0.287979511993216,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.50175,-0.294566296047647,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.504,-0.301319741126392,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.50625,-0.308244684911768,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.5085,-0.315346123980057,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.51075,-0.322629219572998,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.513,-0.330099303595117,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.51525,-0.337761884846077,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.5175,-0.345622655497583,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.51975,-0.353687497824835,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.522,-0.361962491202842,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.52425,-0.370453919378372,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.5265,-0.379168278028723,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.52875,-0.388112282618902,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.531,-0.397292876569352,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.53325,-0.406717239746686,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.5355,-0.416392797290529,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.53775,-0.426327228789945,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.54,-0.436528477823485,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.54225,-0.447004761877454,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.5445,-0.457764582657423,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.54675,-0.468816736808754,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.549,-0.480170327062233,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.55125,-0.491834773821766,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.5535,-0.503819827211405,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.55575,-0.516135579599848,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.558,-0.528792478620959,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.56025,-0.541801340709675,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.5625,-0.55517336517314,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.56475,-0.568920148817706,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.567,-0.583053701153045,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.56925,-0.597586460195281,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.5715,-0.612531308891727,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.57375,-0.627901592190571,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.576,-0.643711134779456,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.57825,-0.659974259517628,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.5805,-0.676705806587043,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.58275,-0.693921153388469,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.585,-0.711636235209356,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.58725,-0.729867566690879,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.5895,-0.748632264122291,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.59175,-0.767948068591309,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.594,-0.787833370020015,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.59625,-0.808307232116269,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.5985,-0.829389418271317,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.60075,-0.851100418434904,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.603,-0.873461476999675,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.60525,-0.896494621727292,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.6075,-0.920222693749146,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.60975,-0.944669378675123,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.612,-0.969859238844226,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.61425,-0.995817746751404,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.6165,-1.02257131968531,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.61875,-1.05014735561203,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.621,-1.0785742703403,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.62325,-1.10788153600395,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.6255,-1.13809972089769,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.62775,-1.16926053070275,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.63,-1.20139685113901,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.63225,-1.23454279208085,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.6345,-1.26873373317415,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.63675,-1.3040063709924,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.639,-1.34039876777044,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.64125,-1.37795040175496,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.6435,-1.41670221921162,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.64575,-1.45669668812989,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.648,-1.49797785366775,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.65025,-1.54059139537999,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
0.6525,-1.58458468627604,15.9262491887873,0.320116104533965,0.348567461480844,166,sim_166
